City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Abong Mbang,CM,88.38,scattered clouds,3.9833,13.1833,Auberge Angle Sur
12,Puri,IN,84.72,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
16,Mana,GF,76.42,broken clouds,5.6592,-53.7767,LE SAMANA
20,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
21,Faanui,PF,78.26,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Shahdadkot,PK,85.44,broken clouds,27.8477,67.9055,Gold Star Baloch Hotel & Restaurant
27,Butaritari,KI,81.14,broken clouds,3.0707,172.7902,Isles Sunset Lodge
32,Chimoio,MZ,84.06,scattered clouds,-19.1164,33.4833,Residencial Dabhad
36,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Kalabo,ZM,86.81,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
46,Richards Bay,ZA,76.37,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
47,Alice Springs,AU,81.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
50,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
52,Kudahuvadhoo,MV,81.97,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
70,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
72,Rock Sound,BS,78.98,clear sky,24.9,-76.2,Pink Corral Bay Property
74,Cape Town,ZA,76.1,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
77,Bengkulu,ID,79.54,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
78,Atuona,PF,77.65,overcast clouds,-9.8,-139.0333,Villa Enata
82,Carutapera,BR,80.24,overcast clouds,-1.195,-46.02,Lidera
87,Bima,ID,80.33,light rain,-8.4667,118.7167,Lambitu Hotel
88,Bambous Virieux,MU,82.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
89,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
90,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
97,Porto Novo,BJ,85.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
98,Kavieng,PG,82.42,clear sky,-2.5744,150.7967,Nusa Island Retreat
105,Saint-Philippe,RE,85.12,clear sky,-21.3585,55.7679,Le four à pain
109,Hobyo,SO,83.84,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
115,Karratha,AU,84.74,clear sky,-20.7377,116.8463,ibis Styles Karratha
119,Banda Aceh,ID,83.19,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
121,Hithadhoo,MV,81.93,clear sky,-0.6,73.0833,Scoop Guest House
124,Harper,LR,82.99,clear sky,4.375,-7.7169,Screensaver
128,Cotonou,BJ,85.98,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
130,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
132,Luwingu,ZM,83.59,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
141,Port Blair,IN,82.4,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
163,Akyab,MM,81.41,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
172,Mangrol,IN,84.79,clear sky,21.1167,70.1167,Hotel The Royal Honours
175,Bonthe,SL,83.53,clear sky,7.5264,-12.505,Bonthe Holiday Village
177,Savalou,BJ,88.97,overcast clouds,7.9281,1.9756,Hotel F&F
