City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Washington,US,47.5001,-120.5015,30.58,85,23,5.3,few clouds
1,Carnarvon,AU,-24.8667,113.6333,72.01,65,0,23.53,clear sky
2,Kropotkin,RU,45.4375,40.5756,49.93,69,100,9.28,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,73.71,82,97,6.24,overcast clouds
4,Geraldton,AU,-28.7667,114.6,72.01,56,0,20.71,clear sky
5,Barrow,US,71.2906,-156.7887,10.42,85,100,14.97,light snow
6,Kushima,JP,31.4583,131.2333,63.32,89,16,4.25,few clouds
7,Aklavik,CA,68.2191,-135.0107,7.36,96,100,6.22,light snow
8,Yellowknife,CA,62.456,-114.3525,14.52,85,100,4.61,light snow
9,Cayenne,GF,4.9333,-52.3333,73.44,94,100,0.0,overcast clouds
10,Abong Mbang,CM,3.9833,13.1833,88.38,35,28,2.59,scattered clouds
11,Longyearbyen,SJ,78.2186,15.6401,17.44,79,20,9.22,few clouds
12,Puri,IN,19.8,85.85,84.72,41,6,5.3,clear sky
13,Whitehorse,CA,60.7161,-135.0538,22.01,86,100,4.61,light snow
14,Seymchan,RU,62.8833,152.4333,-26.75,98,100,1.63,overcast clouds
15,Castro,BR,-24.7911,-50.0119,59.02,91,100,7.61,overcast clouds
16,Mana,GF,5.6592,-53.7767,76.42,90,73,6.87,broken clouds
17,Hobart,AU,-42.8794,147.3294,64.26,70,0,4.61,light rain
18,Saint-Felicien,CA,48.6501,-72.4491,30.7,86,75,9.22,broken clouds
19,Sitka,US,57.0531,-135.33,37.29,75,100,5.75,overcast clouds
20,Vaini,TO,-21.2,-175.2,77.16,94,40,2.3,scattered clouds
21,Faanui,PF,-16.4833,-151.75,78.26,75,75,15.95,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,44.71,61,20,23.02,few clouds
23,Trondheim,NO,63.4305,10.3951,44.69,64,52,8.01,broken clouds
24,Shahdadkot,PK,27.8477,67.9055,85.44,11,80,2.19,broken clouds
25,El Sauzal,MX,31.9,-116.6833,57.18,39,5,2.44,clear sky
26,Windhoek,NA,-22.5594,17.0832,88.29,21,20,5.75,few clouds
27,Butaritari,KI,3.0707,172.7902,81.14,77,69,9.22,broken clouds
28,Port Elizabeth,ZA,-33.918,25.5701,71.31,56,20,13.8,few clouds
29,Rio Grande,BR,-32.035,-52.0986,63.95,78,0,10.47,clear sky
30,Prudentopolis,BR,-25.2131,-50.9778,60.8,85,99,4.41,overcast clouds
31,Ribeira Grande,PT,38.5167,-28.7,61.2,77,20,5.75,few clouds
32,Chimoio,MZ,-19.1164,33.4833,84.06,61,40,3.44,scattered clouds
33,Busselton,AU,-33.65,115.3333,63.64,57,52,20.07,broken clouds
34,Cidreira,BR,-30.1811,-50.2056,71.06,87,61,8.32,broken clouds
35,Birin,NP,26.8865,88.0718,61.79,59,0,4.05,clear sky
36,Mahebourg,MU,-20.4081,57.7,82.69,61,40,11.5,scattered clouds
37,Hermanus,ZA,-34.4187,19.2345,71.8,55,42,17.54,scattered clouds
38,Nouadhibou,MR,20.931,-17.0347,70.93,47,0,11.36,clear sky
39,Saskylakh,RU,71.9167,114.0833,-27.24,100,99,4.36,overcast clouds
40,San Quintin,MX,30.4833,-115.95,58.46,53,1,1.21,clear sky
41,Albany,US,42.6001,-73.9662,39.51,65,7,3.0,clear sky
42,Mataura,NZ,-46.1927,168.8643,40.37,79,94,2.28,overcast clouds
43,Kalabo,ZM,-14.97,22.6814,86.81,39,99,9.42,overcast clouds
44,Murgab,TM,37.4966,61.9714,71.47,30,0,9.22,clear sky
45,Lebu,CL,-37.6167,-73.65,54.84,91,10,16.17,clear sky
46,Richards Bay,ZA,-28.783,32.0377,76.37,66,99,8.75,overcast clouds
47,Alice Springs,AU,-23.7,133.8833,81.95,61,75,10.36,broken clouds
48,Kahului,US,20.8947,-156.47,71.83,80,0,11.01,clear sky
49,Mar Del Plata,AR,-38.0023,-57.5575,62.94,94,40,15.01,scattered clouds
50,Georgetown,MY,5.4112,100.3354,89.53,74,20,9.22,few clouds
51,Leshukonskoye,RU,64.8989,45.7622,5.79,97,98,4.59,overcast clouds
52,Kudahuvadhoo,MV,2.6708,72.8944,81.97,69,68,7.02,broken clouds
53,Ushuaia,AR,-54.8,-68.3,40.66,75,75,6.91,light intensity drizzle
54,Cabo San Lucas,MX,22.8909,-109.9124,68.5,70,0,2.82,clear sky
55,Tambopata,PE,-12.7333,-69.1833,69.19,99,25,1.74,scattered clouds
56,San Patricio,US,28.017,-97.5169,57.07,93,100,19.15,overcast clouds
57,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,79,100,4.74,overcast clouds
58,Palamos,ES,41.8484,3.1291,60.3,28,78,7.0,broken clouds
59,Udachnyy,RU,66.4167,112.4,-27.29,100,99,3.4,overcast clouds
60,Hasaki,JP,35.7333,140.8333,57.6,73,100,14.63,light rain
61,Kapaa,US,22.0752,-159.319,71.92,72,100,21.85,overcast clouds
62,Tasiilaq,GL,65.6145,-37.6368,35.76,61,100,11.59,overcast clouds
63,Ancud,CL,-41.8697,-73.8203,48.15,78,4,4.81,clear sky
64,Boende,CD,-0.2167,20.8667,73.45,94,100,2.62,overcast clouds
65,Bluff,NZ,-46.6,168.3333,47.79,60,45,9.4,scattered clouds
66,Chokurdakh,RU,70.6333,147.9167,-43.02,100,92,3.18,overcast clouds
67,Jumla,NP,29.2747,82.1838,62.91,28,0,6.31,clear sky
68,Plouzane,FR,48.3833,-4.6167,53.65,87,75,17.27,light rain
69,Kruisfontein,ZA,-34.0033,24.7314,68.88,38,4,14.99,clear sky
70,Salalah,OM,17.0151,54.0924,84.29,51,20,9.22,few clouds
71,Lavrentiya,RU,65.5833,-171.0,6.78,83,100,10.78,overcast clouds
72,Rock Sound,BS,24.9,-76.2,78.98,78,8,4.18,clear sky
73,Omsukchan,RU,62.5333,155.8,-36.38,96,14,3.13,few clouds
74,Cape Town,ZA,-33.9258,18.4232,76.1,46,20,23.02,few clouds
75,San Cristobal,VE,7.7669,-72.225,63.88,94,85,1.39,overcast clouds
76,Pevek,RU,69.7008,170.3133,-8.93,96,100,6.15,overcast clouds
77,Bengkulu,ID,-3.8004,102.2655,79.54,85,67,5.35,broken clouds
78,Atuona,PF,-9.8,-139.0333,77.65,71,100,12.37,overcast clouds
79,New Norfolk,AU,-42.7826,147.0587,63.91,63,100,1.01,moderate rain
80,Solnechnyy,RU,50.7214,136.6319,11.57,87,100,13.91,light snow
81,Muros,ES,42.7762,-9.0603,57.09,69,100,15.01,overcast clouds
82,Carutapera,BR,-1.195,-46.02,80.24,74,100,6.76,overcast clouds
83,Vilshofen,DE,48.6333,13.1833,45.97,91,100,6.62,overcast clouds
84,Coihaique,CL,-45.5752,-72.0662,45.21,75,0,5.75,clear sky
85,Alofi,NU,-19.0595,-169.9187,73.29,94,10,3.44,clear sky
86,Dikson,RU,73.5069,80.5464,4.69,95,100,16.96,overcast clouds
87,Bima,ID,-8.4667,118.7167,80.33,85,100,1.95,light rain
88,Bambous Virieux,MU,-20.3428,57.7575,82.65,61,40,11.5,scattered clouds
89,Saldanha,ZA,-33.0117,17.9442,75.25,59,7,23.51,clear sky
90,Padang,ID,-0.9492,100.3543,86.05,78,75,5.03,broken clouds
91,Thompson,CA,55.7435,-97.8558,21.36,100,0,3.44,clear sky
92,Isangel,VU,-19.55,169.2667,73.51,88,100,4.61,overcast clouds
93,Selma,US,36.5708,-119.6121,44.65,70,0,3.44,clear sky
94,Oxapampa,PE,-10.5775,-75.4017,54.37,94,93,5.32,overcast clouds
95,Charlestown,AU,-32.95,151.6667,65.82,74,90,3.0,overcast clouds
96,Ponta Do Sol,PT,32.6667,-17.1,71.13,69,87,3.22,overcast clouds
97,Porto Novo,BJ,6.4965,2.6036,85.82,53,99,3.04,overcast clouds
98,Kavieng,PG,-2.5744,150.7967,82.42,65,7,5.75,clear sky
99,Bredasdorp,ZA,-34.5322,20.0403,71.46,40,24,14.2,few clouds
100,Pisco,PE,-13.7,-76.2167,66.25,82,75,4.61,mist
101,Rawson,AR,-43.3002,-65.1023,62.26,49,9,16.17,clear sky
102,Torbay,CA,47.6666,-52.7314,32.27,94,0,6.91,clear sky
103,Severo-Kurilsk,RU,50.6789,156.125,32.22,72,81,18.45,broken clouds
104,Vostok,RU,46.4856,135.8833,14.77,95,100,10.07,light snow
105,Saint-Philippe,RE,-21.3585,55.7679,85.12,70,9,14.43,clear sky
106,Jalu,LY,29.0331,21.5482,68.79,44,96,6.17,overcast clouds
