City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,San Ramon,US,2022-11-25 03:42:06,37.7799,-121.978,61.25,57,0,6.91,clear sky,0,0
1,Bonavista,CA,2022-11-25 03:46:27,48.6499,-53.1147,28.71,94,100,30.58,snow,0,0
2,Kahului,US,2022-11-25 03:46:28,20.8947,-156.47,75.22,70,75,23.02,broken clouds,0,0
3,Beloha,MG,2022-11-25 03:46:29,-25.1667,45.05,77.88,61,2,4.05,clear sky,0,0
4,Mount Gambier,AU,2022-11-25 03:46:29,-37.8333,140.7667,73.6,44,95,1.72,overcast clouds,0,0
5,Jamestown,US,2022-11-25 03:45:54,42.097,-79.2353,47.79,52,100,6.91,overcast clouds,0,0
6,Rikitea,PF,2022-11-25 03:46:30,-23.1203,-134.9692,70.43,86,100,8.95,light rain,0,0
7,Bengkulu,ID,2022-11-25 03:46:31,-3.8004,102.2655,77.32,89,97,8.46,light rain,0,0
8,Port-Gentil,GA,2022-11-25 03:46:31,-0.7193,8.7815,76.37,91,100,7.34,light rain,0,0
9,Lasa,IT,2022-11-25 03:46:32,46.6166,10.7002,38.28,57,100,2.06,overcast clouds,0,0
10,Bethel,US,2022-11-25 03:46:32,41.3712,-73.414,44.91,92,98,3.6,overcast clouds,0,0
11,Beya,RU,2022-11-25 03:46:33,53.0533,90.9139,11.59,53,100,1.95,overcast clouds,0,0
12,East London,ZA,2022-11-25 03:46:34,-33.0153,27.9116,65.34,63,40,13.8,scattered clouds,0,0
13,Nykoping,SE,2022-11-25 03:46:34,58.753,17.0079,34.09,93,100,4.61,overcast clouds,0,0
14,Bluff,NZ,2022-11-25 03:46:35,-46.6,168.3333,54.81,74,100,24.83,overcast clouds,0,0
15,Torbay,CA,2022-11-25 03:45:49,47.6666,-52.7314,26.76,82,100,47.18,light snow,0,0
16,Ribeira Grande,PT,2022-11-25 03:46:35,38.5167,-28.7,65.77,84,99,27.0,overcast clouds,0,0
17,Komsomolskiy,UZ,2022-11-25 03:46:36,40.4272,71.7189,41.72,87,100,4.61,overcast clouds,0,0
18,Berlevag,NO,2022-11-25 03:46:36,70.8578,29.0864,24.8,68,54,11.5,broken clouds,0,0
19,Mataura,NZ,2022-11-25 03:46:37,-46.1927,168.8643,54.48,54,100,8.99,overcast clouds,0,0
20,Lorengau,PG,2022-11-25 03:46:37,-2.0226,147.2712,85.89,64,53,6.67,broken clouds,0,0
21,Bredasdorp,ZA,2022-11-25 03:46:38,-34.5322,20.0403,53.01,60,10,3.74,clear sky,0,0
22,Cape Town,ZA,2022-11-25 03:46:38,-33.9258,18.4232,58.08,52,20,12.66,few clouds,0,0
23,Punta Arenas,CL,2022-11-25 03:46:26,-53.15,-70.9167,50.11,46,100,24.83,overcast clouds,0,0
24,Tuktoyaktuk,CA,2022-11-25 03:46:39,69.4541,-133.0374,5.0,92,75,2.3,light snow,0,0
25,Namibe,AO,2022-11-25 03:46:39,-15.1961,12.1522,73.22,82,71,2.39,light rain,0,0
26,Killarney,IE,2022-11-25 03:45:48,52.05,-9.5167,44.4,91,9,7.99,clear sky,0,0
27,Ahipara,NZ,2022-11-25 03:46:40,-35.1667,173.1667,61.75,89,42,12.64,scattered clouds,0,0
28,Butaritari,KI,2022-11-25 03:46:40,3.0707,172.7902,80.28,77,100,7.81,overcast clouds,0,0
29,Bilibino,RU,2022-11-25 03:46:41,68.0546,166.4372,-11.96,95,98,2.44,overcast clouds,0,0
30,Carnarvon,AU,2022-11-25 03:46:41,-24.8667,113.6333,74.39,57,2,15.88,clear sky,0,0
31,Laguna,US,2022-11-25 03:46:42,38.421,-121.4238,58.78,71,0,4.61,clear sky,0,0
32,Dikson,RU,2022-11-25 03:46:42,73.5069,80.5464,-1.75,97,100,19.13,light snow,0,0
33,Vaini,TO,2022-11-25 03:46:43,-21.2,-175.2,84.36,74,75,4.61,broken clouds,0,0
34,Katherine,AU,2022-11-25 03:46:43,-14.4667,132.2667,95.32,41,40,6.91,scattered clouds,0,0
35,Naigarhi,IN,2022-11-25 03:46:43,24.7833,81.7833,68.22,30,1,2.13,clear sky,0,0
36,Banda Aceh,ID,2022-11-25 03:46:44,5.5577,95.3222,85.39,63,94,13.82,overcast clouds,0,0
37,Albany,US,2022-11-25 03:43:13,42.6001,-73.9662,42.58,72,99,3.24,overcast clouds,0,0
38,Riberalta,BO,2022-11-25 03:46:45,-10.9833,-66.1,72.07,96,17,1.9,few clouds,0,0
39,Bambous Virieux,MU,2022-11-25 03:46:45,-20.3428,57.7575,80.22,69,40,10.36,scattered clouds,0,0
40,Hailey,US,2022-11-25 03:46:45,43.5196,-114.3153,30.06,71,0,5.75,clear sky,0,0
41,Yulara,AU,2022-11-25 03:46:46,-25.2406,130.9889,81.16,45,100,20.15,overcast clouds,0,0
42,Kaitangata,NZ,2022-11-25 03:46:46,-46.2817,169.8464,57.38,52,100,11.27,overcast clouds,0,0
